hugo_name,hgnc_id,protocol,protocol_specification,date_added,notes,departments,total
ABCB1,40,False,,2026-03-05,,moma,1/5
ABL1,76,False,,2026-03-05,,moma,1/5
AKT2,392,False,,2026-03-05,,moma,1/5
AKT3,393,False,,2026-03-05,,moma,1/5
ALK,427,False,,2026-03-05,,moma,1/5
BCL2,990,False,,2026-03-05,,moma,1/5
BCOR,20893,False,,2026-03-05,,moma,1/5
BRAF,1097,False,,2026-03-05,,moma,1/5
BRD4,13575,False,,2026-03-05,,moma,1/5
CIC,14214,False,,2026-03-05,,moma,1/5
CREBBP,2348,False,,2026-03-05,,moma,1/5
CSF1,2432,False,,2026-03-05,,moma,1/5
EGFR,3236,False,,2026-03-05,,moma,1/5
ERBB2,3430,False,,2026-03-05,,moma,1/5
ERG,3446,False,,2026-03-05,,moma,1/5
ESR1,3467,False,,2026-03-05,,moma,1/5
ETV1,3490,False,,2026-03-05,,moma,1/5
ETV4,3493,False,,2026-03-05,,moma,1/5
EWSR1,3508,False,,2026-03-05,,moma,1/5
FGFR1,3688,False,,2026-03-05,,moma,1/5
FGFR2,3689,False,,2026-03-05,,moma,1/5
FGFR3,3690,False,,2026-03-05,,moma,1/5
FGFR4,3691,False,,2026-03-05,,moma,1/5
FOS,3796,False,,2026-03-05,,moma,1/5
FOSB,3797,False,,2026-03-05,,moma,1/5
FOXR1,29980,False,,2026-03-05,,moma,1/5
FOXR2,30469,False,,2026-03-05,,moma,1/5
FUS,4010,False,,2026-03-05,,moma,1/5
FYN,4037,False,,2026-03-05,,moma,1/5
GLI1,4317,False,,2026-03-05,,moma,1/5
IRF4,6119,False,,2026-03-05,,moma,1/5
JAK2,6192,False,,2026-03-05,,moma,1/5
JAZF1,28917,False,,2026-03-05,,moma,1/5
KIT,6342,False,,2026-03-05,,moma,1/5
KMT2E,18541,False,,2026-03-05,,moma,1/5
KRAS,6407,False,,2026-03-05,,moma,1/5
LATS1,6514,False,,2026-03-05,,moma,1/5
MAML2,16259,False,,2026-03-05,,moma,1/5
MAP3K3,6855,False,,2026-03-05,,moma,1/5
MAP3K8,6860,False,,2026-03-05,,moma,1/5
MET,7029,False,,2026-03-05,,moma,1/5
MN1,7180,False,,2026-03-05,,moma,1/5
MRTFB,29819,False,,2026-03-05,,moma,1/5
MYB,7545,False,,2026-03-05,,moma,1/5
MYBL1,7547,False,,2026-03-05,,moma,1/5
NAB2,7627,False,,2026-03-05,,moma,1/5
NCOA1,7668,False,,2026-03-05,,moma,1/5
NCOA2,7669,False,,2026-03-05,,moma,1/5
NCOR2,7673,False,,2026-03-05,,moma,1/5
NOTCH1,7881,False,,2026-03-05,,moma,1/5
NOTCH2,7882,False,,2026-03-05,,moma,1/5
NPM1,7910,False,,2026-03-05,,moma,1/5
NR4A3,7982,False,,2026-03-05,,moma,1/5
NRG1,7997,False,,2026-03-05,,moma,1/5
NTRK1,8031,False,,2026-03-05,,moma,1/5
NTRK2,8032,False,,2026-03-05,,moma,1/5
NTRK3,8033,False,,2026-03-05,,moma,1/5
NUTM1,29919,False,,2026-03-05,,moma,1/5
PAX3,8617,False,,2026-03-05,,moma,1/5
PAX5,8619,False,,2026-03-05,,moma,1/5
PAX7,8621,False,,2026-03-05,,moma,1/5
PAX8,8622,False,,2026-03-05,,moma,1/5
PDGFB,8800,False,,2026-03-05,,moma,1/5
PDGFRA,8803,False,,2026-03-05,,moma,1/5
PDGFRB,8804,False,,2026-03-05,,moma,1/5
PHF1,8919,False,,2026-03-05,,moma,1/5
PLAG1,9045,False,,2026-03-05,,moma,1/5
PPARG,9236,False,,2026-03-05,,moma,1/5
PRKACA,9380,False,,2026-03-05,,moma,1/5
PRKCA,9393,False,,2026-03-05,,moma,1/5
PTEN,9588,False,,2026-03-05,,moma,1/5
RAF1,9829,False,,2026-03-05,,moma,1/5
RARA,9864,False,,2026-03-05,,moma,1/5
RASGRF1,9875,False,,2026-03-05,,moma,1/5
RASGRF2,9876,False,,2026-03-05,,moma,1/5
RELA,9955,False,,2026-03-05,,moma,1/5
RET,9967,False,,2026-03-05,,moma,1/5
ROS1,10261,False,,2026-03-05,,moma,1/5
RSPO2,28583,False,,2026-03-05,,moma,1/5
RSPO3,20866,False,,2026-03-05,,moma,1/5
SMARCA2,11098,False,,2026-03-05,,moma,1/5
SS18,11340,False,,2026-03-05,,moma,1/5
SSX1,11335,False,,2026-03-05,,moma,1/5
SSX2,11336,False,,2026-03-05,,moma,1/5
STAT6,11368,False,,2026-03-05,,moma,1/5
TAF15,11547,False,,2026-03-05,,moma,1/5
TFE3,11752,False,,2026-03-05,,moma,1/5
TMPRSS2,11876,False,,2026-03-05,,moma,1/5
WWTR1,24042,False,,2026-03-05,,moma,1/5
YAP1,16262,False,,2026-03-05,,moma,1/5
YWHAE,12851,False,,2026-03-05,,moma,1/5
